"","gender","race.ethnicity","parental.level.of.education","lunch","test.preparation.course","math.score","reading.score","writing.score"
"494","female","group C","bachelor's degree","standard","none",81,88,90
"495","female","group B","high school","standard","none",54,64,68
"496","male","group D","high school","standard","completed",68,64,66
"497","female","group C","some college","standard","none",54,48,52
"499","female","group B","some high school","standard","none",66,69,68
"500","male","group E","some college","standard","none",76,71,72
"501","female","group D","master's degree","standard","none",74,79,82
"502","female","group B","associate's degree","standard","completed",94,87,92
"504","female","group E","associate's degree","standard","completed",95,89,92
"506","female","group B","some high school","standard","none",82,82,80
"507","male","group A","high school","standard","none",68,70,66
"509","male","group C","master's degree","standard","none",79,78,77
"510","female","group C","bachelor's degree","standard","none",86,92,87
"511","male","group D","some college","standard","none",76,71,73
"512","male","group A","some high school","standard","none",64,50,43
"514","female","group B","some high school","standard","completed",54,61,62
"516","female","group C","some high school","standard","completed",76,87,85
"517","female","group D","some college","standard","none",74,89,84
"518","female","group E","some college","standard","completed",66,74,73
"519","female","group D","some high school","standard","completed",66,78,78
"521","male","group D","some college","standard","none",71,49,52
"522","female","group C","associate's degree","standard","none",91,86,84
"523","male","group D","bachelor's degree","standard","none",69,58,57
"525","male","group C","high school","standard","completed",53,52,49
"526","male","group E","some college","standard","none",68,60,59
"530","female","group C","associate's degree","standard","none",62,74,70
"531","female","group C","associate's degree","standard","completed",68,67,73
"532","female","group C","some high school","standard","none",47,54,53
"533","male","group E","associate's degree","standard","completed",62,61,58
"534","female","group E","associate's degree","standard","completed",79,88,94
"535","male","group B","high school","standard","completed",73,69,68
"537","male","group C","associate's degree","standard","completed",51,60,58
"538","female","group D","high school","standard","none",51,66,62
"539","male","group E","bachelor's degree","standard","completed",85,66,71
"540","male","group A","associate's degree","standard","completed",97,92,86
"541","male","group C","high school","standard","completed",75,69,68
"543","female","group C","associate's degree","standard","none",81,77,79
"544","female","group D","associate's degree","standard","none",82,95,89
"545","female","group D","master's degree","standard","none",64,63,66
"547","female","group A","some high school","standard","completed",92,100,97
"548","male","group C","high school","standard","completed",72,67,64
"550","male","group C","master's degree","standard","none",79,72,69
"553","female","group B","associate's degree","standard","none",40,48,50
"555","male","group E","associate's degree","standard","none",53,45,40
"557","female","group C","associate's degree","standard","completed",55,72,79
"560","male","group D","some high school","standard","none",73,66,62
"561","female","group D","some college","standard","completed",74,75,79
"562","female","group C","some college","standard","none",63,74,74
"563","male","group C","bachelor's degree","standard","completed",96,90,92
"566","male","group B","associate's degree","standard","none",48,43,45
"571","male","group B","some college","standard","completed",71,75,70
"572","male","group A","bachelor's degree","standard","none",91,96,92
"573","female","group C","some college","standard","none",53,62,56
"575","female","group E","high school","standard","none",74,81,71
"577","male","group A","some college","standard","completed",61,51,52
"578","female","group B","high school","standard","none",81,91,89
"580","female","group D","master's degree","standard","none",53,61,68
"581","female","group D","some high school","standard","none",81,97,96
"582","female","group E","some high school","standard","none",77,79,80
"584","female","group D","associate's degree","standard","completed",73,75,80
"585","female","group D","some college","standard","none",69,77,77
"586","female","group C","associate's degree","standard","none",65,76,76
"587","female","group A","high school","standard","none",55,73,73
"589","female","group C","some college","standard","none",54,64,65
"590","female","group A","some high school","standard","none",48,66,65
"592","male","group A","some high school","standard","none",71,62,50
"593","male","group E","bachelor's degree","standard","none",68,68,64
"594","female","group E","high school","standard","none",74,76,73
"595","female","group C","bachelor's degree","standard","completed",92,100,99
"596","female","group C","bachelor's degree","standard","completed",56,79,72
"598","male","group A","some high school","standard","none",53,54,48
"599","female","group D","high school","standard","none",69,77,73
"600","female","group D","some high school","standard","none",65,82,81
"601","female","group D","master's degree","standard","none",54,60,63
"602","female","group C","high school","standard","none",29,29,30
"603","female","group E","some college","standard","none",76,78,80
"606","male","group C","some high school","standard","none",75,72,62
"607","female","group C","associate's degree","standard","none",85,84,82
"609","female","group E","some college","standard","none",61,64,62
"610","female","group B","associate's degree","standard","none",58,63,65
"612","female","group C","some college","standard","none",58,59,66
"613","male","group C","bachelor's degree","standard","completed",94,90,91
"614","female","group C","associate's degree","standard","none",65,77,74
"615","female","group A","associate's degree","standard","none",82,93,93
"616","female","group C","high school","standard","none",60,68,72
"617","female","group E","bachelor's degree","standard","none",37,45,38
"618","male","group D","bachelor's degree","standard","none",88,78,83
"619","male","group D","master's degree","standard","none",95,81,84
"624","male","group A","some college","standard","completed",100,96,86
"626","male","group D","some college","standard","completed",100,97,99
"628","male","group D","associate's degree","standard","none",61,48,46
"630","female","group C","some high school","standard","completed",44,51,55
"631","male","group D","some college","standard","none",67,64,70
"632","male","group B","high school","standard","none",79,60,65
"633","female","group B","bachelor's degree","standard","completed",66,74,81
"634","female","group C","high school","standard","none",75,88,85
"635","male","group D","some high school","standard","none",84,84,80
"636","male","group A","high school","standard","none",71,74,64
"638","female","group D","some high school","standard","completed",80,92,88
"639","male","group E","some college","standard","none",86,76,74
"640","female","group D","associate's degree","standard","none",76,74,73
"641","male","group D","high school","standard","none",41,52,51
"644","female","group E","high school","standard","completed",74,79,80
"645","male","group B","high school","standard","none",70,65,60
"646","female","group B","bachelor's degree","standard","completed",65,81,81
"647","female","group D","associate's degree","standard","none",59,70,65
"649","female","group B","high school","standard","none",50,53,55
"650","female","group D","some college","standard","completed",69,79,81
"652","female","group A","high school","standard","completed",68,80,76
"653","female","group D","some college","standard","completed",85,86,98
"654","female","group A","associate's degree","standard","completed",65,70,74
"655","female","group B","some high school","standard","none",73,79,79
"656","female","group B","some college","standard","none",62,67,67
"658","male","group D","some high school","standard","none",69,66,61
"660","male","group D","associate's degree","standard","none",90,87,85
"662","male","group C","some high school","standard","none",73,66,63
"664","female","group C","high school","standard","none",65,69,67
"665","male","group D","associate's degree","standard","none",80,63,63
"669","male","group C","some college","standard","none",73,74,61
"670","male","group D","associate's degree","standard","completed",81,72,77
"673","female","group C","some college","standard","none",69,78,76
"674","female","group C","associate's degree","standard","completed",65,84,84
"675","female","group D","high school","standard","completed",69,77,78
"676","female","group B","some college","standard","completed",50,64,66
"677","female","group E","some college","standard","completed",73,78,76
"678","female","group C","some high school","standard","completed",70,82,76
"681","female","group D","high school","standard","none",67,72,74
"682","male","group B","high school","standard","none",60,68,60
"683","male","group B","high school","standard","none",62,55,54
"685","male","group B","some college","standard","completed",62,66,68
"686","female","group E","master's degree","standard","completed",94,99,100
"687","male","group E","some college","standard","completed",85,75,68
"691","female","group C","associate's degree","standard","none",49,53,53
"694","female","group D","associate's degree","standard","none",77,77,73
"695","female","group C","some high school","standard","none",49,63,56
"697","female","group C","associate's degree","standard","completed",75,82,90
"698","female","group A","bachelor's degree","standard","none",59,72,70
"699","female","group D","associate's degree","standard","completed",57,78,79
"701","female","group E","bachelor's degree","standard","completed",79,81,82
"702","female","group B","some high school","standard","none",57,67,72
"703","male","group A","bachelor's degree","standard","completed",87,84,87
"704","female","group D","some college","standard","none",63,64,67
"707","male","group D","high school","standard","none",46,34,36
"708","male","group C","some college","standard","none",66,59,52
"709","male","group D","high school","standard","none",89,87,79
"711","male","group C","some college","standard","completed",93,84,90
"712","female","group E","some high school","standard","completed",80,85,85
"713","female","group D","some college","standard","none",98,100,99
"714","male","group D","master's degree","standard","none",81,81,84
"715","female","group B","some high school","standard","completed",60,70,74
"717","male","group C","associate's degree","standard","completed",73,78,72
"718","female","group C","associate's degree","standard","completed",96,96,99
"719","female","group C","high school","standard","none",76,76,74
"724","male","group C","high school","standard","none",50,48,42
"725","male","group B","some college","standard","none",47,43,41
"726","male","group E","some college","standard","completed",81,74,71
"727","female","group E","associate's degree","standard","completed",65,75,77
"728","male","group E","some high school","standard","completed",68,51,57
"730","male","group C","some college","standard","none",53,39,37
"733","female","group C","some college","standard","completed",87,89,94
"734","male","group D","some high school","standard","none",55,47,44
"736","male","group C","master's degree","standard","none",67,57,59
"737","male","group C","associate's degree","standard","none",92,79,84
"739","male","group D","associate's degree","standard","none",81,71,73
"741","male","group D","bachelor's degree","standard","none",80,73,72
"743","female","group C","high school","standard","none",81,84,82
"744","female","group C","associate's degree","standard","completed",59,73,72
"746","male","group D","associate's degree","standard","none",72,79,74
"747","male","group D","high school","standard","none",69,75,71
"748","male","group C","some college","standard","none",69,64,68
"750","male","group B","some college","standard","completed",87,84,86
"751","male","group D","some high school","standard","completed",71,69,68
"752","male","group E","some college","standard","none",68,72,65
"754","female","group C","some high school","standard","completed",77,90,85
"756","female","group E","associate's degree","standard","none",84,95,92
"757","male","group D","some college","standard","none",55,58,52
"760","male","group B","some college","standard","completed",69,77,77
"762","female","group D","some high school","standard","none",48,58,54
"763","male","group D","some high school","standard","completed",78,81,86
"764","female","group B","high school","standard","none",62,62,63
"765","male","group D","some college","standard","none",60,63,59
"766","female","group B","high school","standard","none",74,72,72
"767","female","group C","high school","standard","completed",58,75,77
"768","male","group B","high school","standard","completed",76,62,60
"769","female","group D","some high school","standard","none",68,71,75
"771","male","group B","high school","standard","none",52,48,49
"772","male","group D","bachelor's degree","standard","none",75,73,74
"775","male","group B","some college","standard","none",66,65,60
"777","female","group B","high school","standard","none",66,72,70
"779","female","group A","some college","standard","completed",72,79,82
"780","male","group E","associate's degree","standard","completed",94,85,82
"782","female","group B","master's degree","standard","none",77,90,84
"784","female","group C","associate's degree","standard","completed",52,59,62
"785","male","group C","bachelor's degree","standard","completed",91,81,79
"786","female","group B","some high school","standard","completed",32,51,44
"788","female","group B","some college","standard","none",19,38,32
"791","female","group B","high school","standard","none",48,62,60
"794","male","group E","some high school","standard","completed",89,84,77
"795","female","group B","high school","standard","none",42,52,51
"797","male","group D","high school","standard","none",70,70,70
"799","male","group E","some college","standard","none",69,60,54
"800","female","group C","associate's degree","standard","none",52,55,57
"801","male","group C","some high school","standard","completed",67,73,68
"802","male","group C","some high school","standard","completed",76,80,73
"803","female","group E","associate's degree","standard","none",87,94,95
"804","female","group B","some college","standard","none",82,85,87
"805","female","group C","some college","standard","none",73,76,78
"809","male","group C","high school","standard","none",90,75,69
"810","male","group B","bachelor's degree","standard","none",59,54,51
"811","male","group A","some high school","standard","none",51,31,36
"813","female","group C","master's degree","standard","completed",54,64,67
"814","male","group E","some high school","standard","completed",87,84,76
"815","female","group C","high school","standard","none",72,80,83
"816","male","group B","some high school","standard","completed",94,86,87
"817","female","group A","bachelor's degree","standard","none",45,59,64
"820","female","group C","some high school","standard","none",77,91,88
"821","female","group A","some high school","standard","completed",85,90,92
"826","male","group C","high school","standard","none",62,67,58
"828","female","group C","some high school","standard","none",65,69,76
"830","male","group B","some high school","standard","none",68,54,53
"833","male","group A","bachelor's degree","standard","none",64,60,58
"834","female","group B","high school","standard","completed",77,82,89
"835","male","group B","some college","standard","none",58,50,45
"836","female","group C","high school","standard","completed",60,64,74
"837","male","group E","high school","standard","none",73,64,57
"838","female","group A","high school","standard","completed",75,82,79
"840","female","group C","associate's degree","standard","none",66,77,73
"842","male","group C","some high school","standard","none",64,58,51
"846","male","group E","master's degree","standard","none",90,85,84
"847","male","group C","master's degree","standard","completed",91,85,85
"848","male","group D","high school","standard","none",64,54,50
"849","female","group C","high school","standard","none",59,72,68
"850","male","group D","associate's degree","standard","none",80,75,69
"851","male","group C","master's degree","standard","none",71,67,67
"852","female","group A","high school","standard","none",61,68,63
"853","female","group E","some college","standard","none",87,85,93
"854","male","group E","some high school","standard","none",82,67,61
"855","male","group C","some high school","standard","none",62,64,55
"856","female","group B","bachelor's degree","standard","none",97,97,96
"858","female","group C","bachelor's degree","standard","none",65,79,81
"859","male","group B","high school","standard","completed",52,49,46
"861","female","group C","associate's degree","standard","none",53,62,53
"864","female","group C","some college","standard","completed",71,71,80
"865","male","group C","associate's degree","standard","none",97,93,91
"866","male","group D","some college","standard","completed",82,82,88
"868","male","group B","associate's degree","standard","none",61,42,41
"871","male","group B","high school","standard","none",59,58,47
"872","female","group C","some college","standard","completed",70,72,76
"873","male","group B","associate's degree","standard","completed",82,84,78
"877","male","group D","some college","standard","none",81,82,84
"878","male","group C","some high school","standard","none",57,61,54
"879","female","group D","some high school","standard","none",59,72,80
"880","female","group D","associate's degree","standard","none",64,76,74
"881","male","group C","bachelor's degree","standard","completed",63,64,66
"882","female","group E","bachelor's degree","standard","completed",71,70,70
"885","female","group E","associate's degree","standard","none",51,51,54
"886","female","group C","associate's degree","standard","completed",62,76,80
"887","female","group E","associate's degree","standard","completed",93,100,95
"891","female","group E","some college","standard","completed",86,85,91
"892","female","group E","associate's degree","standard","none",85,92,85
"894","male","group D","some high school","standard","completed",88,74,75
"895","female","group E","associate's degree","standard","none",59,62,69
"899","male","group D","associate's degree","standard","completed",67,54,63
"900","female","group D","some high school","standard","completed",65,78,82
"901","male","group D","master's degree","standard","none",85,84,89
"902","female","group C","master's degree","standard","none",73,78,74
"906","male","group D","some college","standard","none",88,77,77
"907","male","group B","high school","standard","none",57,48,51
"908","female","group D","some college","standard","completed",79,84,91
"910","male","group E","bachelor's degree","standard","completed",70,64,70
"912","female","group A","some college","standard","none",69,84,82
"913","female","group C","bachelor's degree","standard","completed",52,61,66
"916","female","group E","some college","standard","none",68,70,66
"917","male","group E","bachelor's degree","standard","completed",100,100,100
"918","female","group C","high school","standard","none",44,61,52
"919","female","group C","associate's degree","standard","completed",57,77,80
"920","male","group B","some college","standard","completed",91,96,91
"923","male","group D","high school","standard","none",72,66,66
"926","male","group E","some high school","standard","completed",74,64,60
"935","male","group C","associate's degree","standard","completed",98,87,90
"937","male","group A","associate's degree","standard","none",67,57,53
"939","male","group D","some college","standard","completed",85,81,85
"940","male","group D","some high school","standard","completed",77,68,69
"942","female","group D","master's degree","standard","none",78,91,96
"943","male","group C","high school","standard","none",81,66,64
"945","female","group B","high school","standard","none",58,68,61
"946","female","group C","associate's degree","standard","none",54,61,58
"947","male","group B","high school","standard","none",82,82,80
"951","male","group E","high school","standard","none",94,73,71
"952","female","group D","some college","standard","completed",75,77,83
"954","male","group C","high school","standard","completed",58,52,54
"955","female","group C","some college","standard","none",62,69,69
"956","male","group E","associate's degree","standard","none",72,57,62
"957","male","group C","some college","standard","none",84,87,81
"958","female","group D","master's degree","standard","none",92,100,100
"959","female","group D","high school","standard","none",45,63,59
"960","male","group C","high school","standard","none",75,81,71
"961","female","group A","some college","standard","none",56,58,64
"963","female","group E","associate's degree","standard","none",100,100,100
"965","male","group D","some college","standard","none",72,57,58
"966","female","group D","some college","standard","none",62,70,72
"967","male","group A","some high school","standard","completed",66,68,64
"968","male","group C","some college","standard","none",63,63,60
"969","female","group E","associate's degree","standard","none",68,76,67
"970","female","group B","bachelor's degree","standard","none",75,84,80
"971","female","group D","bachelor's degree","standard","none",89,100,100
"972","male","group C","some high school","standard","completed",78,72,69
"975","female","group A","some college","standard","none",54,63,67
"976","female","group C","some college","standard","completed",64,82,77
"978","male","group C","associate's degree","standard","none",62,65,58
"979","male","group D","high school","standard","completed",55,41,48
"980","female","group C","associate's degree","standard","none",91,95,94
"982","male","group D","some high school","standard","none",81,78,78
"983","male","group B","some high school","standard","completed",79,85,86
"984","female","group A","some college","standard","completed",78,87,91
"985","female","group C","some high school","standard","none",74,75,82
"986","male","group A","high school","standard","none",57,51,54
"987","female","group C","associate's degree","standard","none",40,59,51
"988","male","group E","some high school","standard","completed",81,75,76
"992","female","group B","some high school","standard","completed",65,82,78
"995","male","group A","high school","standard","none",63,63,62
"996","female","group E","master's degree","standard","completed",88,99,95
"999","female","group D","some college","standard","completed",68,78,77
